Date,North (mm), East (mm),Lat,Long
19-12-2015,89.71,60.45,,
20-12-2015,88.83,58.88,,
21-12-2015,89.76,59.04,,
22-12-2015,90.03,57.98,,
23-12-2015,92.98,59.27,,
24-12-2015,89.18,58.94,,
25-12-2015,89.35,61.22,,
26-12-2015,89.83,57.29,,
27-12-2015,86.73,61.16,,
28-12-2015,89.29,58.15,,
29-12-2015,86.99,59.48,,
30-12-2015,90.76,59.7,,
31-12-2015,86.18,56.85,,
01-01-2016,88.65,59.57,,
02-01-2016,89.64,58.28,,
03-01-2016,92.18,60.56,,
04-01-2016,88.28,58.76,,
05-01-2016,92.79,61.17,,
06-01-2016,87.13,59.41,,
07-01-2016,89.26,58.26,,
08-01-2016,88.18,59.91,,
09-01-2016,90.28,59.17,,
10-01-2016,90.12,58.01,,
11-01-2016,88.86,59.24,,
12-01-2016,86.33,61.99,,
13-01-2016,89.06,58.75,,
14-01-2016,89.05,59.19,,
15-01-2016,89.59,58.84,,
16-01-2016,91.18,58.25,,
17-01-2016,88.91,58.24,,
18-01-2016,89.31,59.27,,
19-01-2016,90.44,59.31,,
20-01-2016,88.62,60.13,,
21-01-2016,87.29,61.44,,
22-01-2016,89.74,61.18,,
23-01-2016,88.88,58.36,,
24-01-2016,89.27,56.3,,
25-01-2016,90.01,59.87,,
26-01-2016,91.04,59.85,,
27-01-2016,90.7,60.41,,
28-01-2016,90,59.69,,
29-01-2016,88.95,60.25,,
30-01-2016,90.78,57.92,,
31-01-2016,92.64,59.3,,
01-02-2016,90.87,60.47,,
02-02-2016,87.65,61.69,,
03-02-2016,88.85,59.18,,
04-02-2016,89.58,63.68,,
05-02-2016,87.09,61.03,,
06-02-2016,87.42,59.46,,
07-02-2016,88.8,60.54,,
08-02-2016,89.52,60.28,,
09-02-2016,91.98,58.06,,
10-02-2016,88.66,60.18,,
11-02-2016,92.02,60.6,,
12-02-2016,89.73,63.02,,
13-02-2016,89.73,60.54,,
14-02-2016,88.25,63.58,,
15-02-2016,88.71,61.07,,
16-02-2016,92.91,59.52,,
17-02-2016,91.19,62.24,,
18-02-2016,92.4,60.94,,
19-02-2016,91.81,61.07,,
20-02-2016,89.65,61.47,,
21-02-2016,91,61.87,,
22-02-2016,90.21,60.84,,
23-02-2016,93.32,58.31,,
24-02-2016,89.31,62.02,,
25-02-2016,87.88,61.41,,
26-02-2016,88.27,63.16,,
27-02-2016,89.33,60.17,,
28-02-2016,88.14,58.59,,
29-02-2016,90.65,59.89,,
01-03-2016,90.67,61.25,,
02-03-2016,89.95,57.97,,
03-03-2016,90,62.28,,
04-03-2016,88.61,59.43,,
05-03-2016,91.47,59,,
06-03-2016,89.23,60.73,,
07-03-2016,91.72,59.99,,
08-03-2016,92.38,60.91,,
09-03-2016,92.55,60.21,,
10-03-2016,91.13,60.68,,
11-03-2016,89,60.97,,
12-03-2016,93.85,60.64,,
13-03-2016,88.79,60.43,,
14-03-2016,92.84,62.15,,
15-03-2016,89.59,59.84,,
16-03-2016,90.9,62.23,,
17-03-2016,91.02,59.13,,
18-03-2016,91.42,60.66,,
19-03-2016,92.33,62.21,,
20-03-2016,92.02,56.09,,
21-03-2016,91.29,59.96,,
22-03-2016,93,60.02,,
23-03-2016,90.62,60.31,,
24-03-2016,90.95,62.74,,
25-03-2016,89.4,60.81,,
26-03-2016,92.76,57.99,,
27-03-2016,90.75,60.33,,
28-03-2016,90.21,61.3,,
29-03-2016,90.85,62.43,,
30-03-2016,91.88,59.02,,
31-03-2016,93.59,59.03,,
01-04-2016,92.57,59.57,,
02-04-2016,93.75,69.92,,
03-04-2016,93.27,60.33,,
04-04-2016,92.21,63.47,,
05-04-2016,91.32,58.33,,
06-04-2016,94.2,57.78,,
07-04-2016,93.11,57.82,,
08-04-2016,91.64,60.87,,
09-04-2016,91.62,58.79,,
10-04-2016,93.58,62.5,,
11-04-2016,89.71,59.94,,
12-04-2016,91.54,60.01,,
13-04-2016,92.61,62.14,,
14-04-2016,89.62,59.88,,
15-04-2016,91.27,61.52,,
16-04-2016,90.7,62.77,,
17-04-2016,93.03,63.06,,
18-04-2016,91.28,59.53,,
19-04-2016,91.38,60.31,,
20-04-2016,92.27,63.56,,
21-04-2016,93.51,64.11,,
22-04-2016,90.12,61.05,,
23-04-2016,92.47,60.78,,
24-04-2016,91.98,61.13,,
25-04-2016,92.8,60.02,,
26-04-2016,92.32,61.58,,
27-04-2016,92.96,64,,
28-04-2016,90.26,61.23,,
29-04-2016,91.19,63.77,,
30-04-2016,92.73,61.67,,
01-05-2016,92.53,67.27,,
02-05-2016,92.14,63.23,,
03-05-2016,92.68,65.42,,
04-05-2016,93.27,63.65,,
05-05-2016,94.66,64.85,,
06-05-2016,92.98,63.73,,
07-05-2016,93.99,65.8,,
08-05-2016,91.75,62.97,,
09-05-2016,89.74,64.43,,
10-05-2016,91.93,64.51,,
11-05-2016,91.19,60.42,,
12-05-2016,92.71,63.99,,
13-05-2016,93.1,62.03,,
14-05-2016,92.21,61.52,,
15-05-2016,92.77,64.06,,
16-05-2016,91.7,62.86,,
17-05-2016,94.65,62.83,,
18-05-2016,103.56,60.1,,
19-05-2016,84.19,54.43,,
20-05-2016,112.01,28.1,,
21-05-2016,55.13,53.81,,
22-05-2016,91.68,24.6,,
23-05-2016,96.84,40.88,,
24-05-2016,344.07,264.95,,
10-07-2017,107.63,73.64,,
11-07-2017,111.46,75.35,,
12-07-2017,108.89,71.92,,
13-07-2017,108.4,73.01,,
14-07-2017,108.3,74.65,,
15-07-2017,108.62,74.14,,
16-07-2017,108.83,71.78,,
17-07-2017,109.4,74.98,,
18-07-2017,111.29,69.3,,
19-07-2017,111.55,75.25,,
20-07-2017,108.28,77.76,,
21-07-2017,111.37,76.78,,
22-07-2017,113.74,75.83,,
23-07-2017,108.58,77.26,,
24-07-2017,110.5,76.94,,
25-07-2017,113.48,75,,
26-07-2017,111.93,73.58,,
27-07-2017,112.84,75.17,,
28-07-2017,113.83,74.68,,
29-07-2017,108.36,75.61,,
30-07-2017,112.71,68.94,,
31-07-2017,110.79,75.98,,
01-08-2017,108.96,74.35,,
02-08-2017,108.69,75.88,,
03-08-2017,108.93,76.5,,
04-08-2017,108.88,70.03,,
05-08-2017,111.36,74.38,,
06-08-2017,113.03,72.68,,
07-08-2017,102.39,75.75,,
08-08-2017,114.99,71.57,,
09-08-2017,112.42,80.22,,
10-08-2017,116.04,77.07,,
11-08-2017,107.49,78.84,,
12-08-2017,111.34,75.14,,
13-08-2017,112.95,77.79,,
14-08-2017,108.18,72.36,,
15-08-2017,110.07,77.72,,
16-08-2017,114.29,78.49,,
17-08-2017,117.28,66.33,,
18-08-2017,110.29,63.37,,
19-08-2017,111.77,72.39,,
20-08-2017,112.53,72.26,,
21-08-2017,114.35,80.51,,
22-08-2017,115.4,75.48,,
23-08-2017,116.81,78.12,,
24-08-2017,110.6,74.63,,
25-08-2017,108.1,73.45,,
26-08-2017,112.21,71.92,,
27-08-2017,114.91,80.57,,
28-08-2017,112.5,74.92,,
29-08-2017,112.87,73.15,,
30-08-2017,110.21,75.17,,
31-08-2017,112.1,74.45,,
01-09-2017,116.73,75.25,,
02-09-2017,112.14,76.02,,
03-09-2017,112.96,75.6,,
04-09-2017,112.66,73.21,,
05-09-2017,114.16,71.57,,
06-09-2017,113.36,73.58,,
07-09-2017,114.9,74.33,,
08-09-2017,113.98,75.53,,
09-09-2017,114.17,76.47,,
10-09-2017,112.85,72.51,,
11-09-2017,113.66,74.46,,
12-09-2017,112.9,77.4,,
13-09-2017,111.33,74.42,,
14-09-2017,113.86,69.87,,
15-09-2017,112.01,75.21,,
16-09-2017,109.1,83.66,,
17-09-2017,112.39,29.73,,
26-09-2017,115.04,78.93,,
27-09-2017,109.86,77.14,,
28-09-2017,109.73,83.77,,
29-09-2017,110.47,79.14,,
30-09-2017,110.53,76.66,,
01-10-2017,119.48,64.12,,
02-10-2017,113.9,83.01,,
03-10-2017,115.08,77.58,,
04-10-2017,110.9,72.82,,
05-10-2017,113.09,77.88,,
06-10-2017,115.71,78.67,,
07-10-2017,117.96,72.71,,
08-10-2017,114.45,78.57,,
09-10-2017,116.63,74.44,,
10-10-2017,113.78,77.67,,
11-10-2017,110.46,77.36,,
12-10-2017,114.56,75.18,,
13-10-2017,115.6,75.71,,
14-10-2017,115.01,76.63,,
15-10-2017,109.18,78.74,,
16-10-2017,111.24,78.91,,
17-10-2017,118.26,77.47,,
18-10-2017,113.34,76.05,,
19-10-2017,114.96,76.27,,
20-10-2017,116.67,77.46,,
21-10-2017,120.22,91.64,,
22-10-2017,119.88,78.61,,
23-10-2017,105.49,69.99,,
24-10-2017,116.13,80.11,,
25-10-2017,118.66,80.91,,
26-10-2017,113.62,76.17,,
27-10-2017,115.94,81.98,,
28-10-2017,107.8,72.54,,
29-10-2017,113.3,78.77,,
30-10-2017,113.41,78.83,,
31-10-2017,113.85,81.98,,
01-11-2017,115.93,76.07,,
02-11-2017,117.55,72.89,,
03-11-2017,113.3,77.42,,
04-11-2017,122.69,69.9,,
05-11-2017,113.12,78.55,,
06-11-2017,114.3,80.75,,
07-11-2017,110.23,76.01,,
08-11-2017,116.5,79.25,,
09-11-2017,114.28,82.51,,
10-11-2017,115.5,76.53,,
11-11-2017,114.61,75.3,,
12-11-2017,115.66,75.61,,
13-11-2017,120.35,77.57,,
14-11-2017,114.95,71.23,,
15-11-2017,113.39,71.76,,
16-11-2017,112.94,79.35,,
17-11-2017,115.59,77.71,,
18-11-2017,117.51,78.72,,
19-11-2017,115.88,80.63,,
20-11-2017,117.77,83.13,,
21-11-2017,114.42,80.92,,
22-11-2017,116.32,80.09,,
23-11-2017,113.99,75.71,,
24-11-2017,116.99,78.22,,
25-11-2017,118.8,83.87,,
26-11-2017,113.6,80.95,,
27-11-2017,118.61,80.24,,
28-11-2017,121.84,84.32,,
29-11-2017,120.11,80.38,,
30-11-2017,113.71,73.36,,
01-12-2017,117.72,65.75,,
02-12-2017,118.26,80.31,,
03-12-2017,119.41,78.47,,
04-12-2017,116.58,77.06,,
05-12-2017,113.14,77.01,,
06-12-2017,118.25,78.7,,
07-12-2017,113.9,79.97,,
08-12-2017,116.56,79.82,,
09-12-2017,115.56,77.39,,
10-12-2017,115.26,81.39,,
11-12-2017,112.47,79.73,,
12-12-2017,116.79,78.53,,
13-12-2017,119.75,77.33,,
14-12-2017,118.72,78.05,,
15-12-2017,115.08,81.72,,
16-12-2017,112.99,78.99,,
17-12-2017,117.56,78.91,,
18-12-2017,117.03,77.67,,
19-12-2017,120.65,79.42,,
20-12-2017,115.2,80.57,,
21-12-2017,117.55,77.27,,
22-12-2017,113.07,83.87,,
23-12-2017,119.62,78.88,,
24-12-2017,118.49,78.37,,
25-12-2017,115.37,79.67,,
26-12-2017,116.07,78.84,,
27-12-2017,112.89,81.45,,
28-12-2017,115.86,79.05,,
29-12-2017,114.44,79.44,,
30-12-2017,116.07,80.37,,
31-12-2017,115.47,77.82,,
01-01-2018,118.59,82.68,,
02-01-2018,117.52,78.77,,
03-01-2018,120.99,78.79,,
04-01-2018,119.03,79.19,,
05-01-2018,117.49,81.29,,
06-01-2018,115.95,83.51,,
07-01-2018,116.65,81.38,,
08-01-2018,120.09,79.94,,
09-01-2018,116.98,78.57,,
10-01-2018,120.63,76.88,,
11-01-2018,118.66,80.59,,
12-01-2018,118.59,79.31,,
13-01-2018,115.01,84.37,,
14-01-2018,120.2,80.73,,
15-01-2018,118.23,78.68,,
16-01-2018,118.97,83.17,,
17-01-2018,119.58,83.48,,
18-01-2018,116.87,82.13,,
19-01-2018,120.75,80.1,,
20-01-2018,121.87,81.99,,
21-01-2018,120.19,81.62,,
22-01-2018,117.8,80.45,,
23-01-2018,119.6,81.28,,
24-01-2018,119.6,82.36,,
25-01-2018,117.86,81.57,,
26-01-2018,120.06,80.83,,
27-01-2018,123.45,82.52,,
28-01-2018,120.1,81.99,,
29-01-2018,119.01,83.48,,
30-01-2018,119.87,81.05,,
31-01-2018,122.03,82.02,,
01-02-2018,120.05,79.82,,
02-02-2018,120.11,80.17,,
03-02-2018,121.47,82.16,,
04-02-2018,118.48,81.77,,
05-02-2018,122.64,83.55,,
06-02-2018,120.48,83.03,,
07-02-2018,121.66,81.48,,
08-02-2018,123.41,82.48,,
09-02-2018,119.04,82.62,,
10-02-2018,119.99,82.79,,
11-02-2018,120.06,83.15,,
