,0
601,-347.1
602,-346.71
603,-347.9
604,-348.15
605,-348.46
606,-348.22
607,-347.51
608,-349.14
609,-348.11
610,-346.64
611,-348.82
612,-347.53
613,-350.45
614,-349.22
615,-348.7
616,-349.86
617,-347.93
618,-348.07
619,-348.29
620,-348.26
621,-349.07
622,-350.35
623,-348.58
624,-349.88
625,-349.4
626,-347.41
627,-347.77
628,-347.38
629,-347.35
630,-349.07
631,-347.88
632,-349.1
633,-348.79
634,-347.33
635,-347.93
636,-349.64
637,-348.68
638,-347.85
639,-342.6
640,-344.58
641,-344.5
642,-348.72
643,-348.56
644,-348.27
645,-348.14
646,-349.33
647,-348.23
648,-349.27
649,-349.58
650,-349.41
651,-349.29
652,-349.37
653,-350.54
654,-348.57
655,-347.22
656,-347.63
657,-348.54
658,-349.09
659,-350.08
660,-348.86
661,-347.83
662,-349.44
663,-349.65
664,-349.08
665,-350.3
666,-350.31
667,-349.3
668,-348.26
669,-350.94
670,-350.57
671,-350.16
672,-350.2
673,-349.85
674,-349.96
675,-351.68
676,-351.71
677,-350.97
678,-351.16
679,-351.48
680,-350.94
681,-350.54
682,-351.67
683,-351.64
684,-350.53
685,-351.72
686,-351.05
687,-352.02
688,-351.17
689,-351.8
690,-351.58
691,-352.51
692,-352.27
693,-352.56
694,-353.25
695,-351.39
696,-351.74
697,-353.26
698,-353.86
699,-353.3
700,-352.37
701,-352.55
702,-352.51
703,-352.9
704,-353.02
705,-352.55
706,-352.52
707,-354.08
708,-352.73
709,-352.86
710,-355.66
711,-353.82
712,-352.71
713,-351.06
714,-351.03
715,-352.18
716,-352.38
717,-351.53
718,-352.27
719,-351.8
720,-350.19
721,-350.15
722,-350.25
723,-349.29
724,-349.93
725,-351.24
726,-348.84
727,-346.68
728,-347.19
729,-345.64
730,-348.0
731,-353.13
732,-351.9
733,-352.6
734,-352.01
735,-351.96
736,-352.05
737,-353.4
738,-353.34
739,-353.8
740,-354.14
741,-353.74
742,-353.99
743,-352.79
744,-352.61
745,-353.43
746,-354.13
747,-353.87
748,-354.18
749,-351.93
750,-353.33
751,-354.11
752,-355.23
753,-353.64
754,-353.77
755,-353.09
756,-352.37
757,-351.88
758,-352.84
759,-352.12
760,-351.09
761,-354.22
762,-355.29
763,-354.96
764,-353.62
765,-354.09
766,-353.49
767,-354.61
768,-355.25
769,-355.01
770,-353.61
771,-356.06
772,-355.36
773,-355.29
774,-354.01
775,-353.69
776,-353.31
777,-353.66
778,-353.99
779,-355.4
780,-356.28
781,-356.96
782,-356.76
783,-355.15
784,-355.64
785,-354.97
786,-355.51
787,-353.25
788,-355.02
789,-357.71
790,-355.95
791,-353.2
792,-354.63
793,-354.35
794,-355.49
795,-355.52
796,-355.43
797,-354.62
798,-354.78
799,-355.13
800,-352.97
801,-353.23
802,-353.83
803,-353.25
804,-355.25
805,-354.52
806,-354.37
807,-355.64
808,-355.31
809,-355.17
810,-356.04
811,-356.65
812,-355.72
813,-355.75
814,-356.54
815,-355.83
816,-356.34
817,-353.59
818,-355.17
819,-355.14
820,-356.08
821,-356.06
822,-357.63
823,-356.83
824,-356.49
825,-358.61
826,-356.86
827,-355.67
828,-355.99
829,-356.47
830,-356.32
831,-357.24
832,-358.63
833,-357.39
834,-356.98
835,-358.52
836,-358.49
837,-358.29
838,-358.25
839,-358.16
840,-358.98
841,-359.84
842,-358.42
843,-358.82
844,-360.74
845,-359.55
846,-358.74
847,-358.25
848,-358.44
849,-358.84
850,-359.0
851,-358.01
852,-358.13
853,-358.54
854,-357.75
855,-358.23
856,-358.16
857,-358.33
858,-358.94
859,-358.55
860,-357.7
861,-359.27
862,-358.6
863,-358.72
864,-358.83
865,-359.28
866,-359.18
867,-358.08
868,-358.11
869,-361.45
870,-360.62
871,-358.66
872,-358.11
873,-359.53
874,-357.61
875,-359.6
876,-359.21
877,-358.91
878,-358.45
879,-359.09
880,-359.2
881,-358.57
882,-358.73
883,-358.15
884,-360.29
885,-359.49
886,-360.48
887,-360.03
888,-358.12
889,-360.31
890,-359.86
891,-359.09
892,-359.69
893,-359.7
894,-360.5
895,-360.92
896,-361.19
897,-361.98
898,-361.45
899,-361.34
900,-361.28
901,-362.24
902,-361.32
903,-361.81
904,-361.6
905,-361.37
906,-361.95
907,-361.23
908,-362.69
909,-362.16
910,-361.48
911,-362.21
912,-362.4
913,-362.45
914,-362.51
915,-361.45
916,-363.18
917,-362.69
918,-362.02
919,-362.16
920,-362.54
921,-364.27
922,-362.41
923,-362.4
924,-362.99
925,-362.65
926,-361.63
927,-361.5
928,-361.74
929,-360.53
930,-362.14
931,-363.21
932,-362.04
933,-364.12
934,-360.33
935,-361.86
936,-363.14
937,-361.91
938,-361.43
939,-362.05
940,-364.32
941,-362.72
942,-364.26
943,-362.03
944,-362.37
945,-362.03
946,-364.17
947,-363.93
948,-363.72
949,-364.71
950,-363.36
951,-365.04
952,-362.32
953,-364.33
954,-363.94
955,-364.55
956,-363.76
957,-363.59
958,-363.58
959,-364.83
960,-364.9
961,-366.47
962,-365.08
963,-365.54
964,-366.07
965,-365.18
966,-365.92
967,-365.46
968,-365.27
969,-364.59
970,-365.69
971,-366.23
972,-368.69
973,-366.04
974,-364.51
975,-365.54
976,-364.89
977,-366.66
978,-366.08
979,-365.6
980,-366.38
981,-365.96
982,-364.52
983,-365.32
984,-365.02
985,-364.23
986,-365.6
987,-364.71
988,-364.65
989,-365.15
990,-366.11
991,-364.26
992,-364.92
993,-364.7
994,-364.32
995,-366.47
996,-364.68
997,-365.02
998,-363.89
999,-365.06
1000,-364.47
1001,-366.11
1002,-366.05
1003,-364.37
1004,-364.88
1005,-365.53
1006,-365.57
1007,-366.58
1008,-364.72
1009,-364.38
1010,-365.0
1011,-365.68
1012,-365.9
1013,-366.04
1014,-365.86
1015,-366.75
1016,-367.4
1017,-366.99
1018,-365.93
1019,-367.15
